,Rank,Song,Artist,Year
469,70,If Today Was Your Last Day,Nickelback,2009
470,71,Throw It In The Bag,Fabolous Featuring The-Dream,2009
471,72,Love Drunk,Boys Like Girls,2009
472,73,I Love College,Asher Roth,2009
473,74,If U Seek Amy,Britney Spears,2009
474,75,Big Green Tractor,Jason Aldean,2009
475,76,White Horse,Taylor Swift,2009
476,77,Disturbia,Rihanna,2009
477,78,21 Guns,Green Day,2009
478,79,Turn My Swag On,Soulja Boy Tell'em,2009
479,80,Rockin' That Thang,The-Dream,2009
480,81,Chicken Fried,Zac Brown Band,2009
481,82,Diva,Beyonce,2009
482,83,Replay,Iyaz,2009
483,84,Then,Brad Paisley,2009
484,85,Her Diamonds,Rob Thomas,2009
485,86,How Do You Sleep?,Jesse McCartney Featuring Ludacris,2009
486,87,3,Britney Spears,2009
487,88,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",2009
488,89,One Time,Justin Bieber,2009
489,90,I Run To You,Lady Antebellum,2009
490,91,I Do Not Hook Up,Kelly Clarkson,2009
491,92,Green Light,John Legend Featuring Andre 3000,2009
492,93,People Are Crazy,Billy Currington,2009
493,94,Whatever It Is,Zac Brown Band,2009
494,95,Already Gone,Kelly Clarkson,2009
495,96,Goodbye,Kristinia DeBarge,2009
496,97,Say Hey (I Love You),Michael Franti & Spearhead Featuring Cherine Anderson,2009
497,98,Pop Champagne,Jim Jones & Ron Browz Featuring Juelz Santana,2009
498,99,Pretty Wings,Maxwell,2009
499,100,Never Say Never,The Fray,2009
500,1,TiK ToK,Ke$ha,2010
501,2,Need You Now,Lady Antebellum,2010
502,3,"Hey, Soul Sister",Train,2010
503,4,California Gurls,Katy Perry Featuring Snoop Dogg,2010
504,5,OMG,Usher Featuring will.i.am,2010
505,6,Airplanes,B.o.B Featuring Hayley Williams,2010
506,7,Love The Way You Lie,Eminem Featuring Rihanna,2010
507,8,Bad Romance,Lady Gaga,2010
508,9,Dynamite,Taio Cruz,2010
509,10,Break Your Heart,Taio Cruz Featuring Ludacris,2010
510,11,Nothin' On You,B.o.B Featuring Bruno Mars,2010
511,12,I Like It,Enrique Iglesias Featuring Pitbull,2010
512,13,BedRock,Young Money Featuring Lloyd,2010
513,14,In My Head,Jason Derulo,2010
514,15,Rude Boy,Rihanna,2010
515,16,Telephone,Lady Gaga Featuring Beyonce,2010
516,17,Teenage Dream,Katy Perry,2010
517,18,Just The Way You Are,Bruno Mars,2010
518,19,Cooler Than Me,Mike Posner,2010
519,20,Imma Be,The Black Eyed Peas,2010
520,21,Empire State Of Mind,Jay-Z + Alicia Keys,2010
521,22,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,2010
522,23,Billionaire,Travie McCoy Featuring Bruno Mars,2010
523,24,Not Afraid,Eminem,2010
524,25,Replay,Iyaz,2010
525,26,Sexy Chick,David Guetta Featuring Akon,2010
526,27,Breakeven,The Script,2010
527,28,Your Love Is My Drug,Ke$ha,2010
528,29,I Gotta Feeling,The Black Eyed Peas,2010
529,30,Fireflies,Owl City,2010
530,31,Say Aah,Trey Songz Featuring Fabolous,2010
531,32,Find Your Love,Drake,2010
532,33,Alejandro,Lady Gaga,2010
533,34,Ridin' Solo,Jason Derulo,2010
534,35,Just A Dream,Nelly,2010
535,36,How Low,Ludacris,2010
536,37,Like A G6,Far*East Movement Featuring Cataracs & Dev,2010
537,38,Carry Out,Timbaland Featuring Justin Timberlake,2010
538,39,Haven't Met You Yet,Michael Buble,2010
539,40,Club Can't Handle Me,Flo Rida Featuring David Guetta,2010
540,41,Down,Jay Sean Featuring Lil Wayne,2010
541,42,Bulletproof,La Roux,2010
542,43,Whatcha Say,Jason Derulo,2010
543,44,Baby,Justin Bieber Featuring Ludacris,2010
544,45,Whataya Want From Me,Adam Lambert,2010
545,46,Mine,Taylor Swift,2010
546,47,Only Girl (In The World),Rihanna,2010
547,48,Live Like We're Dying,Kris Allen,2010
548,49,Hard,Rihanna Featuring Jeezy,2010
549,50,Young Forever,Jay-Z + Mr. Hudson,2010
550,51,Blah Blah Blah,Ke$ha Featuring 3OH!3,2010
551,52,Bottoms Up,Trey Songz Featuring Nicki Minaj,2010
552,53,Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon,2010
553,54,All The Right Moves,OneRepublic,2010
554,55,According To You,Orianthi,2010
555,56,My Chick Bad,Ludacris Featuring Nicki Minaj,2010
556,57,You Belong With Me,Taylor Swift,2010
557,58,Meet Me Halfway,The Black Eyed Peas,2010
558,59,Take It Off,Ke$ha,2010
559,60,Over,Drake,2010
560,61,Animal,Neon Trees,2010
561,62,Misery,Maroon 5,2010
562,63,Magic,B.o.B Featuring Rivers Cuomo,2010
563,64,Paparazzi,Lady Gaga,2010
564,65,Tie Me Down,New Boyz Featuring Ray J,2010
565,66,Your Love,Nicki Minaj,2010
566,67,Party In The U.S.A.,Miley Cyrus,2010
567,68,Deuces,Chris Brown Featuring Tyga & Kevin McCall,2010
568,69,3,Britney Spears,2010
569,70,Impossible,Shontelle,2010
570,71,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",2010
571,72,Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,2010
572,73,My First Kiss,3OH!3 Featuring Ke$ha,2010
573,74,Already Gone,Kelly Clarkson,2010
574,75,Rock That Body,The Black Eyed Peas,2010
575,76,Secrets,OneRepublic,2010
576,77,Naturally,Selena Gomez & The Scene,2010
577,78,Un-Thinkable (I'm Ready),Alicia Keys,2010
578,79,All I Do Is Win,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",2010
579,80,I Made It (Cash Money Heroes),"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",2010
580,81,Stuck Like Glue,Sugarland,2010
581,82,Hey Daddy (Daddy's Home),Usher Featuring Plies,2010
582,83,There Goes My Baby,Usher,2010
583,84,Today Was A Fairytale,Taylor Swift,2010
584,85,Say Something,Timbaland Featuring Drake,2010
585,86,Sweet Dreams,Beyonce,2010
586,87,Use Somebody,Kings Of Leon,2010
587,88,Undo It,Carrie Underwood,2010
588,89,Eenie Meenie,Sean Kingston & Justin Bieber,2010
589,90,Right Above It,Lil Wayne Featuring Drake,2010
590,91,The House That Built Me,Miranda Lambert,2010
591,92,If I Die Young,The Band Perry,2010
592,93,The Only Exception,Paramore,2010
593,94,American Honey,Lady Antebellum,2010
594,95,King Of Anything,Sara Bareilles,2010
595,96,Life After You,Daughtry,2010
596,97,Smile,Uncle Kracker,2010
597,98,Teach Me How To Dougie,Cali Swag District,2010
598,99,Try Sleeping With A Broken Heart,Alicia Keys,2010
599,100,"Lover, Lover",Jerrod Niemann,2010
600,1,Rolling In The Deep,Adele,2011
601,2,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,2011
602,3,Firework,Katy Perry,2011
603,4,E.T.,Katy Perry Featuring Kanye West,2011
604,5,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",2011
605,6,Grenade,Bruno Mars,2011
606,8,Super Bass,Nicki Minaj,2011
607,9,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,2011
608,10,Just Can't Get Enough,The Black Eyed Peas,2011
609,11,On The Floor,Jennifer Lopez Featuring Pitbull,2011
610,12,S&M,Rihanna,2011
611,13,Pumped Up Kicks,Foster The People,2011
612,14,Last Friday Night (T.G.I.F.),Katy Perry,2011
613,15,Just The Way You Are,Bruno Mars,2011
614,16,Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,2011
615,17,Raise Your Glass,P!nk,2011
616,18,Born This Way,Lady Gaga,2011
617,19,F**kin' Perfect,P!nk,2011
618,20,What's My Name?,Rihanna Featuring Drake,2011
619,21,Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes,2011
620,22,Down On Me,Jeremih Featuring 50 Cent,2011
621,23,How To Love,Lil Wayne,2011
622,24,Someone Like You,Adele,2011
623,25,Good Life,OneRepublic,2011
624,26,The Lazy Song,Bruno Mars,2011
625,27,Till The World Ends,Britney Spears,2011
626,28,The Show Goes On,Lupe Fiasco,2011
627,29,The Edge Of Glory,Lady Gaga,2011
628,30,We R Who We R,Ke$ha,2011
629,31,Black And Yellow,Wiz Khalifa,2011
630,32,Tonight Tonight,Hot Chelle Rae,2011
631,33,Blow,Ke$ha,2011
632,34,Lighters,Bad Meets Evil Featuring Bruno Mars,2011
633,35,If I Die Young,The Band Perry,2011
634,36,Stereo Hearts,Gym Class Heroes Featuring Adam Levine,2011
635,37,The Time (Dirty Bit),The Black Eyed Peas,2011
636,38,Coming Home,Diddy - Dirty Money Featuring Skylar Grey,2011
637,39,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,2011
638,40,Only Girl (In The World),Rihanna,2011
639,41,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,2011
640,42,Just A Kiss,Lady Antebellum,2011
641,43,Dirt Road Anthem,Jason Aldean,2011
642,44,Dynamite,Taio Cruz,2011
643,45,No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale,2011
644,46,I Wanna Go,Britney Spears,2011
645,47,I'm On One,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",2011
646,48,You Make Me Feel...,Cobra Starship Featuring Sabi,2011
647,49,Yeah 3X,Chris Brown,2011
648,50,Moment 4 Life,Nicki Minaj Featuring Drake,2011
649,51,I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey,2011
650,52,Just A Dream,Nelly,2011
651,53,Motivation,Kelly Rowland Featuring Lil Wayne,2011
652,54,Stereo Love,Edward Maya & Vika Jigulina,2011
653,55,Jar Of Hearts,Christina Perri,2011
654,56,Roll Up,Wiz Khalifa,2011
655,57,Sexy And I Know It,LMFAO,2011
656,58,Rocketeer,Far*East Movement Featuring Ryan Tedder,2011
657,59,All Of The Lights,Kanye West,2011
658,60,Hold It Against Me,Britney Spears,2011
659,61,More,Usher,2011
660,62,What The Hell,Avril Lavigne,2011
661,63,Written In The Stars,Tinie Tempah Featuring Eric Turner,2011
662,64,Bottoms Up,Trey Songz Featuring Nicki Minaj,2011
663,65,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,2011
664,66,For The First Time,The Script,2011
665,67,Honey Bee,Blake Shelton,2011
666,68,Don't You Wanna Stay,Jason Aldean With Kelly Clarkson,2011
667,69,We Found Love,Rihanna Featuring Calvin Harris,2011
668,70,Pretty Girl Rock,Keri Hilson,2011
669,71,You And I,Lady Gaga,2011
670,72,Like A G6,Far*East Movement Featuring Cataracs & Dev,2011
671,73,Without You,David Guetta Featuring Usher,2011
672,74,Back To December,Taylor Swift,2011
673,75,Teenage Dream,Katy Perry,2011
674,76,Crazy Girl,Eli Young Band,2011
675,77,Cheers (Drink To That),Rihanna,2011
676,78,Who Says,Selena Gomez & The Scene,2011
677,79,Barefoot Blue Jean Night,Jake Owen,2011
678,80,Knee Deep,Zac Brown Band Featuring Jimmy Buffett,2011
679,81,Country Girl (Shake It For Me),Luke Bryan,2011
680,82,Remind Me,Brad Paisley Duet With Carrie Underwood,2011
681,83,In The Dark,Dev,2011
682,84,Backseat,New Boyz Featuring The Cataracs & Dev,2011
683,85,Headlines,Drake,2011
684,86,Best Thing I Never Had,Beyonce,2011
685,87,Don't Wanna Go Home,Jason Derulo,2011
686,88,Where Them Girls At,David Guetta Featuring Flo Rida & Nicki Minaj,2011
687,89,She Ain't You,Chris Brown,2011
688,90,Take A Back Road,Rodney Atkins,2011
689,91,Please Don't Go,Mike Posner,2011
690,92,Sure Thing,Miguel,2011
691,93,Price Tag,Jessie J Featuring B.o.B,2011
692,94,God Gave Me You,Blake Shelton,2011
693,95,She Will,Lil Wayne Featuring Drake,2011
694,96,Are You Gonna Kiss Me Or Not,Thompson Square,2011
695,97,Animal,Neon Trees,2011
696,98,You And Tequila,Kenny Chesney Featuring Grace Potter,2011
697,99,Colder Weather,Zac Brown Band,2011
698,100,My Last,Big Sean Featuring Chris Brown,2011
699,1,Somebody That I Used To Know,Gotye Featuring Kimbra,2012
700,2,Call Me Maybe,Carly Rae Jepsen,2012
701,3,We Are Young,fun. Featuring Janelle Monae,2012
702,4,Payphone,Maroon 5 Featuring Wiz Khalifa,2012
703,5,Lights,Ellie Goulding,2012
704,6,Glad You Came,The Wanted,2012
705,7,Stronger (What Doesn't Kill You),Kelly Clarkson,2012
706,8,We Found Love,Rihanna Featuring Calvin Harris,2012
707,9,Starships,Nicki Minaj,2012
708,10,What Makes You Beautiful,One Direction,2012
709,11,Wild Ones,Flo Rida Featuring Sia,2012
710,12,Set Fire To The Rain,Adele,2012
711,13,Sexy And I Know It,LMFAO,2012
712,14,Some Nights,fun.,2012
713,15,Wide Awake,Katy Perry,2012
714,16,Good Feeling,Flo Rida,2012
715,17,Whistle,Flo Rida,2012
716,18,One More Night,Maroon 5,2012
717,19,Drive By,Train,2012
718,20,The Motto,Drake Featuring Lil Wayne,2012
719,21,Where Have You Been,Rihanna,2012
720,22,Everybody Talks,Neon Trees,2012
721,23,Take Care,Drake Featuring Rihanna,2012
722,24,Titanium,David Guetta Featuring Sia,2012
723,25,I Won't Give Up,Jason Mraz,2012
724,26,It Will Rain,Bruno Mars,2012
725,27,Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",2012
726,28,Boyfriend,Justin Bieber,2012
727,29,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,2012
728,30,Too Close,Alex Clare,2012
729,31,Part Of Me,Katy Perry,2012
730,32,"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,2012
731,33,We Are Never Ever Getting Back Together,Taylor Swift,2012
732,34,As Long As You Love Me,Justin Bieber Featuring Big Sean,2012
733,35,Turn Me On,David Guetta Featuring Nicki Minaj,2012
734,36,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,2012
735,37,Blow Me (One Last Kiss),P!nk,2012
736,38,Good Time,Owl City & Carly Rae Jepsen,2012
737,39,Give Your Heart A Break,Demi Lovato,2012
738,40,Ni**as in Paris,Jay Z Kanye West,2012
739,41,The One That Got Away,Katy Perry,2012
740,42,Feel So Close,Calvin Harris,2012
741,43,Someone Like You,Adele,2012
742,44,Scream,Usher,2012
743,45,Rack City,Tyga,2012
744,46,Domino,Jessie J,2012
745,47,Gangnam Style,PSY,2012
746,48,International Love,Pitbull Featuring Chris Brown,2012
747,49,Home,Phillip Phillips,2012
748,50,Without You,David Guetta Featuring Usher,2012
749,51,Ass Back Home,Gym Class Heroes Featuring Neon Hitch,2012
750,52,Wanted,Hunter Hayes,2012
751,53,Drunk On You,Luke Bryan,2012
752,54,No Lie,2 Chainz Featuring Drake,2012
753,55,Want U Back,Cher Lloyd,2012
754,56,Don't Wake Me Up,Chris Brown,2012
755,57,Dance (A$$),Big Sean Featuring Nicki Minaj,2012
756,58,Springsteen,Eric Church,2012
757,59,Brokenhearted,Karmin,2012
758,60,Not Over You,Gavin DeGraw,2012
759,61,Stereo Hearts,Gym Class Heroes Featuring Adam Levine,2012
760,62,Back In Time,Pitbull,2012
761,63,Work Out,J. Cole,2012
762,64,Rumour Has It,Adele,2012
763,65,Let's Go,Calvin Harris Featuring Ne-Yo,2012
764,66,Good Girl,Carrie Underwood,2012
765,67,Pontoon,Little Big Town,2012
766,68,Ho Hey,The Lumineers,2012
767,69,Paradise,Coldplay,2012
768,70,Blown Away,Carrie Underwood,2012
769,71,Rolling In The Deep,Adele,2012
770,72,Climax,Usher,2012
771,73,"Work Hard, Play Hard",Wiz Khalifa,2012
772,74,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,2012
773,75,Pound The Alarm,Nicki Minaj,2012
774,76,Come Over,Kenny Chesney,2012
775,77,Heart Attack,Trey Songz,2012
776,78,Drank In My Cup,Kirko Bangz,2012
777,79,Birthday Cake,Rihanna Featuring Chris Brown,2012
778,80,So Good,B.o.B,2012
779,81,50 Ways To Say Goodbye,Train,2012
780,82,Red Solo Cup,Toby Keith,2012
781,83,Love You Like A Love Song,Selena Gomez & The Scene,2012
782,84,Turn Up The Music,Chris Brown,2012
783,85,Die Young,Ke$ha,2012
784,86,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,2012
785,87,A Thousand Years,Christina Perri,2012
786,88,Take A Little Ride,Jason Aldean,2012
787,89,You Da One,Rihanna,2012
788,90,We Run The Night,Havana Brown Featuring Pitbull,2012
789,91,It's Time,Imagine Dragons,2012
790,92,Cashin' Out,Ca$h Out,2012
791,93,I Don't Want This Night To End,Luke Bryan,2012
792,94,Diamonds,Rihanna,2012
793,95,Hard To Love,Lee Brice,2012
794,96,Somethin' 'Bout A Truck,Kip Moore,2012
795,97,Adorn,Miguel,2012
796,98,Fly Over States,Jason Aldean,2012
797,99,Even If It Breaks Your Heart,Eli Young Band,2012
798,100,Burn It Down,Linkin Park,2012
799,1,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,2013
800,2,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2013
801,3,Radioactive,Imagine Dragons,2013
802,4,Harlem Shake,Baauer,2013
803,5,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,2013
804,6,Mirrors,Justin Timberlake,2013
805,7,Just Give Me A Reason,P!nk Featuring Nate Ruess,2013
806,8,When I Was Your Man,Bruno Mars,2013
807,9,Cruise,Florida Georgia Line Featuring Nelly,2013
808,10,Roar,Katy Perry,2013
809,11,Locked Out Of Heaven,Bruno Mars,2013
810,12,Ho Hey,The Lumineers,2013
811,13,Stay,Rihanna Featuring Mikky Ekko,2013
812,14,Get Lucky,Daft Punk Featuring Pharrell Williams,2013
813,15,Royals,Lorde,2013
814,16,I Knew You Were Trouble.,Taylor Swift,2013
815,17,We Can't Stop,Miley Cyrus,2013
816,18,Wrecking Ball,Miley Cyrus,2013
817,19,Wake Me Up!,Avicii,2013
818,20,Suit & Tie,Justin Timberlake Featuring JAY Z,2013
819,21,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,2013
820,22,Holy Grail,Jay Z Featuring Justin Timberlake,2013
821,23,Scream & Shout,will.i.am & Britney Spears,2013
822,24,Clarity,Zedd Featuring Foxes,2013
823,25,Sail,AWOLNATION,2013
824,26,Don't You Worry Child,Swedish House Mafia Featuring John Martin,2013
825,27,Diamonds,Rihanna,2013
826,28,I Love It,Icona Pop Featuring Charli XCX,2013
827,29,Safe And Sound,Capital Cities,2013
828,30,Treasure,Bruno Mars,2013
829,31,The Way,Ariana Grande Featuring Mac Miller,2013
830,32,Started From The Bottom,Drake,2013
831,33,Come & Get It,Selena Gomez,2013
832,34,"Hold On, We're Going Home",Drake Featuring Majid Jordan,2013
833,35,Daylight,Maroon 5,2013
834,36,Feel This Moment,Pitbull Featuring Christina Aguilera,2013
835,37,Applause,Lady Gaga,2013
836,38,One More Night,Maroon 5,2013
837,39,Love Me,Lil Wayne Featuring Drake & Future,2013
838,40,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,2013
839,41,F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",2013
840,42,Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,2013
841,43,Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert,2013
842,44,Sweet Nothing,Calvin Harris Featuring Florence Welch,2013
843,45,Summertime Sadness,Lana Del Rey & Cedric Gervais,2013
844,46,Home,Phillip Phillips,2013
845,47,It's Time,Imagine Dragons,2013
846,48,Power Trip,J. Cole Featuring Miguel,2013
847,49,Girl On Fire,Alicia Keys Featuring Nicki Minaj,2013
848,50,Heart Attack,Demi Lovato,2013
849,51,Love Somebody,Maroon 5,2013
850,52,I Will Wait,Mumford & Sons,2013
851,53,Try,P!nk,2013
852,54,Wagon Wheel,Darius Rucker,2013
853,55,Gangnam Style,PSY,2013
854,56,I Need Your Love,Calvin Harris Featuring Ellie Goulding,2013
855,57,Die Young,Ke$ha,2013
856,58,Some Nights,fun.,2013
857,59,Bad,Wale Featuring Tiara Thomas Or Rihanna,2013
858,60,Boys 'round Here,Blake Shelton Featuring Pistol Annies & Friends,2013
859,61,"Gone, Gone, Gone",Phillip Phillips,2013
860,62,Demons,Imagine Dragons,2013
861,63,Counting Stars,OneRepublic,2013
862,64,I Cry,Flo Rida,2013
863,65,Little Talks,Of Monsters And Men,2013
864,66,The Other Side,Jason Derulo,2013
865,67,Berzerk,Eminem,2013
866,68,Catch My Breath,Kelly Clarkson,2013
867,69,Crash My Party,Luke Bryan,2013
868,70,Pour It Up,Rihanna,2013
869,71,22,Taylor Swift,2013
870,72,I Want Crazy,Hunter Hayes,2013
871,73,The Fox,Ylvis,2013
872,74,Best Song Ever,One Direction,2013
873,75,The A Team,Ed Sheeran,2013
874,76,Carry On,fun.,2013
875,77,Highway Don't Care,Tim McGraw With Taylor Swift,2013
876,78,That's My Kind Of Night,Luke Bryan,2013
877,79,Swimming Pools (Drank),Kendrick Lamar,2013
878,80,Sure Be Cool If You Did,Blake Shelton,2013
879,81,#Beautiful,Mariah Carey Featuring Miguel,2013
880,82,Troublemaker,Olly Murs Featuring Flo Rida,2013
881,83,Body Party,Ciara,2013
882,84,Adorn,Miguel,2013
883,85,Hall Of Fame,The Script Featuring will.i.am,2013
884,86,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,2013
885,87,U.O.E.N.O.,Rocko Featuring Future & Rick Ross,2013
886,88,Next To Me,Emeli Sande,2013
887,89,Mama's Broken Heart,Miranda Lambert,2013
888,90,It Goes Like This,Thomas Rhett,2013
889,91,Bugatti,Ace Hood Featuring Future & Rick Ross,2013
890,92,Wanted,Hunter Hayes,2013
891,93,Downtown,Lady Antebellum,2013
892,94,Get Your Shine On,Florida Georgia Line,2013
893,95,#thatPOWER,will.i.am Featuring Justin Bieber,2013
894,96,Brave,Sara Bareilles,2013
895,97,Let Her Go,Passenger,2013
896,98,Runnin' Outta Moonlight,Randy Houser,2013
897,99,I'm Different,2 Chainz,2013
898,100,Still Into You,Paramore,2013
899,1,Happy,Pharrell Williams,2014
900,2,Dark Horse,Katy Perry Featuring Juicy J,2014
901,3,All Of Me,John Legend,2014
902,4,Fancy,Iggy Azalea Featuring Charli XCX,2014
903,5,Counting Stars,OneRepublic,2014
904,6,Talk Dirty,Jason Derulo Featuring 2 Chainz,2014
905,7,Rude,MAGIC!,2014
906,8,All About That Bass,Meghan Trainor,2014
907,9,Problem,Ariana Grande Featuring Iggy Azalea,2014
908,10,Stay With Me,Sam Smith,2014
909,11,Timber,Pitbull Featuring Ke$ha,2014
910,12,Pompeii,Bastille,2014
911,13,Shake It Off,Taylor Swift,2014
912,14,Am I Wrong,Nico & Vinz,2014
913,15,Turn Down For What,DJ Snake & Lil Jon,2014
914,16,The Monster,Eminem Featuring Rihanna,2014
915,17,Say Something,A Great Big World & Christina Aguilera,2014
916,18,Team,Lorde,2014
917,19,Let Her Go,Passenger,2014
918,20,Royals,Lorde,2014
919,21,Let It Go,Idina Menzel,2014
920,22,Wake Me Up!,Avicii,2014
921,23,Demons,Imagine Dragons,2014
922,24,Story Of My Life,One Direction,2014
923,25,Chandelier,Sia,2014
924,26,Black Widow,Iggy Azalea Featuring Rita Ora,2014
925,27,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",2014
926,28,Latch,Disclosure Featuring Sam Smith,2014
927,29,Maps,Maroon 5,2014
928,30,Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,2014
929,31,Best Day Of My Life,American Authors,2014
930,32,Habits (Stay High),Tove Lo,2014
931,33,Summer,Calvin Harris,2014
932,34,Boom Clap,Charli XCX,2014
933,35,Drunk In Love,Beyonce Featuring Jay Z,2014
934,36,Anaconda,Nicki Minaj,2014
935,37,Break Free,Ariana Grande Featuring Zedd,2014
